from_id,from_name,message,created_time,likes_count,comments_count,id,post_id
10209414371813513,Celeste Montañez,Toda la onda esta Lili!!!!,2017-07-16T16:46:31+0000,1,0,1415566031862718_1415590745193580,257679404318059_1415566031862718
10205743778186596,Angeles Venencio,Aguante Lili vamos por más te quiero,2017-07-16T16:29:03+0000,1,0,1415566031862718_1415571598528828,257679404318059_1415566031862718
10209869377356290,Lucas Allende,Marcelo Coll,2017-07-16T19:21:19+0000,0,2,1415566031862718_1415716021847719,257679404318059_1415566031862718
686148574813318,Hugo Espindola,"Vayan a laburar vagos de mierda se la pasan haciendo piquetes, cuando laburan?",2017-07-13T23:00:16+0000,8,16,1412536678832320_1412907192128602,257679404318059_1412536678832320
370531786434228,Alberto Jose,"Mientras estén a favor del aborto (matar inocentes indefensos), no los voto. El feto no es un órgano de la madre (""mi cuerpo""), es un ser humano en sí mismo, distinto de su madre, aunque dependiente de ella: tiene ADN y derechos propios. La izquierda debe proteger al más débil. Que el estado proteja y asista a la madre y al bebé; que no facilite la matanza de quien no puede hablar",2017-07-14T12:40:30+0000,4,3,1412536678832320_1413472922072029,257679404318059_1412536678832320
1221648161262162,Rober Godoy,"No gracias...si no tengo trabajo no corto calles.si veo maltrato cuanquiera sea,actuo.en cuanto la educación participo en la escuela de mi hijo.",2017-07-14T17:20:05+0000,5,0,1412536678832320_1413689882050333,257679404318059_1412536678832320
1599448436760098,José María Guzmán,Vayan a laburar zurdosos. Dejen de utilizar a los trabajadores como pantalla para sus falsas ideas. Uds. Solo saben cortar calles y cargarle la vida a los que realmente trabajan.,2017-07-15T02:53:42+0000,2,0,1412536678832320_1414061348679853,257679404318059_1412536678832320
236171416894183,Daniel Zaragoza,Y yo puedo colaborar. Con un zapallo. X q la verdad q zapallo son en dividir la iskierda. Nicolas del coño no le da el cerebro. X eso no hiso un frente amplio de todo los sectores. Y nestor pistola es.otro opa mas. No deberian pasar las pasos. X estupidos. Lo q mas sufren don las vaces. Q son sanos luchadores. Ustedes la direccion del fit. Son una cagada despues de un purgante. No les da la cara. En el fondo son igual a macri.!,2017-07-14T16:57:30+0000,1,0,1412536678832320_1413673222051999,257679404318059_1412536678832320
924976400853213,Max Rodriguez,Tratare con todas mis  fuerzas y medios que los candidatos de UC ( en el único frente que hay una real izquierda) llegue al Congreso.,2017-07-15T04:25:15+0000,0,0,1412536678832320_1414123868673601,257679404318059_1412536678832320
1608533332771229,Elba Parra,No hay q. Temer a la ixquierda yo creo se viene la zurdada...,2017-07-14T16:54:07+0000,2,1,1412536678832320_1413670928718895,257679404318059_1412536678832320
170732626786456,José Germán Alvarez,"Cuando la gente tiene que hacer un reclamo justo, ustedes les arrebatan el micrófono, empiezan a hacer quilombo y terminan reprimiendo a la gente que va hacer el reclamo y ustedes se van contentos, estan bien enfermitos ya pasó su tiempo, la gente los detesta",2017-07-14T22:42:03+0000,4,0,1412536678832320_1413912085361446,257679404318059_1412536678832320
164924923953751,Leo Gaitan Zandalazini,Si ahora a ustedes hay que ayudarlo como ustedes ayudaron con su voto en blanco a que la derecha  gobierne hijos de mil puta,2017-07-14T23:29:51+0000,3,0,1412536678832320_1413936918692296,257679404318059_1412536678832320
118947535368019,Liliana Canever Canever,Otra vieja malparida que vive llena de lujos haciendo bardo zurda hipócrita !!!,2017-07-15T01:02:13+0000,2,0,1412536678832320_1413998098686178,257679404318059_1412536678832320
10214085489800053,Elio Pedro Celiz,Yo me sumó!,2017-07-14T12:20:34+0000,0,2,1412536678832320_1413459878740000,257679404318059_1412536678832320
10203761960915730,Marcelo Schenkel,"""Vota en blanco"" decían... Vayanse a cagar! Ni siquiera saben más cerca de quien están sus ideales estos!",2017-07-14T23:30:02+0000,2,0,1412536678832320_1413936978692290,257679404318059_1412536678832320
1524118274508738,Cristina Martinez,"La izquierda sólo sirven para hacer lío destrozos, la gente en mayoría  No los quiere",2017-07-15T12:49:31+0000,1,0,1412536678832320_1414405698645418,257679404318059_1412536678832320
123710698242794,Rolando Echegaray,"Cheeeeee desde cuándo el boludo de del caño es trabajador de PepsiCo , pero por culpa de el y de Pablo Echardi, hay una mujer policía con una pierna rota, y son ellos Pacíficos, que hacían allí, son basura de ARGENTINA, pudranse hdmp",2017-07-15T04:07:40+0000,1,0,1412536678832320_1414112552008066,257679404318059_1412536678832320
1007759339307405,Tito Tejada,Voten a Macri y ganan,2017-07-14T12:11:28+0000,4,1,1412536678832320_1413453958740592,257679404318059_1412536678832320
281583002310975,Alberto Nayar,"La izquierda argentina solo crea caos donde no lo hay. Practican un socialismo deformado, que cuando se les terminan los argumentos legales pasan al discurso emocional carente de sentido comun",2017-07-15T14:53:53+0000,0,0,1412536678832320_1414508708635117,257679404318059_1412536678832320
1521667818079571,Ricardo Antonio Lenes,"ARRIBA LILIANA,ADELANTE CON LAS REIVINDICACIONES DE LOS TRABAJADORES..",2017-07-15T00:45:54+0000,0,0,1412536678832320_1413989215353733,257679404318059_1412536678832320
1596558173959351,Maria Cristina Gomez,Tanto bla bla bla y al final la única propuesta que hacen es que voten en blanco. Ni siquiera piden que los voten a ustedes!!!! No entiendo a la derecha...,2017-07-14T23:19:41+0000,0,0,1412536678832320_1413932125359442,257679404318059_1412536678832320
753712018053096,Monica Alaniz,"Siempre lo mismo la Olivero, no hay otra persona, parece un partido de dos, siempre los mismos candidatos",2017-07-14T23:00:16+0000,0,0,1412536678832320_1413922552027066,257679404318059_1412536678832320
1602649696643798,Marce Cai,"Pidanle socorro a del caño el lo ayudo a macri a estar donde esta con su voto en blanco asi que ahora jodance como todos nosotros,",2017-07-14T23:51:10+0000,0,0,1412536678832320_1413952022024119,257679404318059_1412536678832320
1816415491973164,Luis Hernan Rodriguez,"Estos señores, corrompen con su indiscreción e indiferencia hacia el trabajador, sus votos en blanco, solo ayudo a los ricos,empresarios y sindicalistas",2017-07-15T01:44:27+0000,0,0,1412536678832320_1414020132017308,257679404318059_1412536678832320
133317687257408,Pedro Alcantara,Ustedes estan en todos los quilombos ... som deprimentes,2017-07-14T12:54:57+0000,5,0,1412536678832320_1413483962070925,257679404318059_1412536678832320
149393625534078,Dina Gimenez,Ni loca trabajen vagos,2017-07-14T15:41:13+0000,2,0,1412536678832320_1413614328724555,257679404318059_1412536678832320
885489394816700,Ro Paz Arias,Ni en dope!!!!! Cuando no quiera laburar más los busco,2017-07-14T15:50:22+0000,2,0,1412536678832320_1413620522057269,257679404318059_1412536678832320
10208784177913537,Angel Fernando Ferraro,"No me suno, no soy de izquierda",2017-07-13T21:15:41+0000,2,0,1412536678832320_1412846692134652,257679404318059_1412536678832320
420269031513599,Hugo Cabral,Vayan a trabajar Zurdos hdrmp,2017-07-14T21:55:39+0000,1,0,1412536678832320_1413877818698206,257679404318059_1412536678832320
253843885089962,Mario Ramon Gallo,La zurdada esta hace 16 anos.asi estamos,2017-07-14T20:42:14+0000,1,0,1412536678832320_1413821695370485,257679404318059_1412536678832320
1057213080960314,Ana Graciela Sanz,Q propuesta tiene ud..de trabajo..??,2017-07-14T19:25:41+0000,1,0,1412536678832320_1413774802041841,257679404318059_1412536678832320
887166361311153,Vicente Tito Guardiola,Voten en blanco denuevo....,2017-07-14T17:08:17+0000,1,0,1412536678832320_1413681685384486,257679404318059_1412536678832320
10213207232004045,Luis Mundel,Estos de izquierda hay que mandarlos a otro pais no sirven para nada,2017-07-14T23:19:47+0000,0,0,1412536678832320_1413932165359438,257679404318059_1412536678832320
406611359543814,Federico Luque,Que manera de leer comentarios pelotudos carente de todo juicio.,2017-07-15T01:17:07+0000,0,0,1412536678832320_1414006308685357,257679404318059_1412536678832320
120710538416369,Andréss Rodriguezzok,"Vayan a trabajar , aspirantes a corruptos",2017-07-15T12:09:49+0000,0,0,1412536678832320_1414378151981506,257679404318059_1412536678832320
1599448436760098,José María Guzmán,Andá a hacerte culiar malparida Liliana. Malvada,2017-07-15T02:57:03+0000,0,0,1412536678832320_1414064158679572,257679404318059_1412536678832320
10200304915701430,Adolfo Acuña,tengo palos y nafta y gomas.. .. no se si eso le sirve ...,2017-07-15T10:49:43+0000,0,0,1412536678832320_1414324065320248,257679404318059_1412536678832320
